City,Name,Cuisine,Neighborhood
Boston,Mahaniyom,Thai,Brookline
Boston,Uni,Contemporary Asian,Back Bay
Boston,La Royal,Peruvian,Cambridge
Boston,Celeste,Peruvian,Somerville
Boston,Hemenway's,Seafood,Providence
Boston,Waterman Grille,American,Providence
Boston,Gracie's,Contemporary American,Providence
Boston,Los Andes Restaurant,Peruvian,Providence
Charleston,Oak Steakhouse - Charleston,Steakhouse,Downtown Charleston
Charleston,Tempest,Contemporary American,Downtown Charleston
Charleston,Southbound,American,Downtown Charleston
Charleston,Ma'am Saab,Pakistani,Downtown Charleston
Charlotte,La Belle Helene,French,Uptown
Charlotte,Fin & Fino - Uptown Charlotte,Seafood,Uptown
Charlotte,Customshop,Contemporary American,Elizabeth
Charlotte,The Goodyear House,Southern,NODA
Charlotte,Rooster's Ballantyne,American,Ballantyne
Chicago,Alla Vita,Contemporary Italian,West Loop
Chicago,Mott Street,Central Asian,Bucktown / Wicker Park
Chicago,Akahoshi Ramen,Japanese,Logan Square
Chicago,Mirra,Mexican,Bucktown / Wicker Park
Chicago,Fioretta,Steakhouse,West Loop
Chicago,Momotaro,Japanese,West Loop
Chicago,Daisies Chicago,American,Logan Square
Chicago,Boka,Contemporary American,Lincoln Park
Chicago,avec West Loop,Mediterranean,West Loop
Chicago,Hawksmoor Chicago,Steakhouse,River North
Chicago,Brasero,Contemporary American,West Town
Chicago,avec River North,Mediterranean,River North
Chicago,Chicago Cut Steakhouse,Steakhouse,River North
Chicago,Kumiko,Dining Bar,West Loop
Chicago,Asador Bastian,Steakhouse,River North
Chicago,Thattu,Indian,Avondale
Chicago,The Publican,American,West Loop
Chicago,Anelya,Ukrainian,Avondale
Chicago,Bronzeville Winery,Contemporary American,Bronzeville
Chicago,Valhalla,Contemporary American,Bucktown / Wicker Park
Chicago,After,Cocktail Bar,West Loop
Chicago,Sepia,Contemporary American,West Loop
Chicago,Mariscos San Pedro,Mexican,Pilsen
Chicago,Ever,American,West Loop
Chicago,PERILLA steakhouse - Riverwalk,Korean,Downtown / Loop
Chicago,Moody Tongue Brewing Company,Brewery,South Loop
Chicago,Cariño,Latin American,Uptown
Chicago,Khmai,Cambodian,North of Foster / Rogers Park
Cincinnati,Mita's Restaurant,Tapas / Small Plates,Cincinnati
Cincinnati,Five Kitchen and Bar,American,Over the Rhine
Cleveland,Flour | Moreland Hills,Italian,Moreland Hills
Cleveland,Blue Point Grille,Seafood,Downtown Cleveland
Cleveland,Edwins Restaurant,French,University Circle
Cleveland,DANTE,American,Tremont
Cleveland,GINKO,Sushi,Tremont
Columbus,Butcher & Rose,Steakhouse,Columbus
Columbus,Cento – German Village,Italian,German Village
Columbus,Tucci's - Dublin,Steakhouse,Dublin
Columbus,Del Mar – Easton,Mediterranean,Easton
Connecticut,Esh Modern Mediterranean - Fairfield,Mediterranean,Fairfield
Connecticut,The North Fork Table & Inn,Contemporary American,Southold
Dallas,Mister Charles,American,Knox / Henderson
Dallas,José,Contemporary Mexican,Park Cities
Dallas,Nick & Sam's Steakhouse,Steakhouse,Uptown
Dallas,Sister,Italian,Park Cities
Dallas,Town Hearth,Steakhouse,Design District
Dallas,Tei-An,Japanese,Arts District
Dallas,El Carlos Elegante,Mexican,West Dallas
Denver,Tavernetta Denver,Italian,Downtown / LoDo
Denver,Alma Fonda Fina,Contemporary Mexican,LoHi
Denver,Rioja,Mediterranean,Downtown / LoDo
Denver,KUMOYA,Japanese,LoHi
Denver,A5 Steakhouse,Steakhouse,LoHi
Denver,Ash'Kara,Mediterranean,Highlands
Denver,BRUTØ,Contemporary American,Downtown / LoDo
Denver,Sunday Vinyl,Wine Bar,Downtown / LoDo
Denver,Cozobi Fonda Fina,Mexican,Boulder
Denver,Frasca Food and Wine,Italian,Boulder
Detroit,Oak & Reel,Italian,Detroit
Detroit,BARDA,Steakhouse,Detroit
Detroit,Bar Pigalle,Contemporary French / American,Detroit
Detroit,Baobab Fare,East African,Detroit
Detroit,Ladder 4 Wine Bar,Contemporary European,Detroit
Greenville County,CAMP,American,Greenville
Greenville County,Soby's,Contemporary American,Greenville
Greenville County,The Lazy Goat,Mediterranean,Greenville
Hawaii,The Pig and the Lady,Vietnamese,Kaimuki
Hawaii,Hau Tree,Mediterranean,Waikiki
Hawaii,MW Restaurant,Seafood,Honolulu
Hawaii,Kaimuki Shokudo,Japanese,Kaimuki
Hawaii,Senia,Contemporary American,Downtown / Chinatown
Hawaii,Lineage Maui,Asian,Wailea
Houston,Rosie Cannonball,Contemporary American,Montrose
Houston,BCN Taste & Tradition,Spanish,Montrose
Houston,Kiran's,Indian,Upper Kirby / Shepherd Corridor
Houston,Agnes and Sherman,Asian,Heights / Washington
Houston,ChopnBlok,African,Montrose
Houston,Brasserie 19,French,River Oaks
Houston,Maximo,Mexican,W. University / Med Center
Houston,Turner's Cut,Steakhouse,Montrose
Houston,March,Mediterranean,Montrose
Houston,Októ,Mediterranean,Montrose
Houston,Lee's,Cocktail Bar,Southeast Houston
Houston,Street To Kitchen,Thai,East End
Jacksonville,Midtown Table,Contemporary Italian,Baymeadows
Jacksonville,Matthew's Restaurant,Contemporary European,Jacksonville
Jacksonville,Rue Saint-Marc,Contemporary European,Jacksonville
Kansas City,Pierpont's at Union Station,Steakhouse,Crossroads / Freight District / Boulevard
Kansas City,Story,Modern European,Prairie Village
Kansas City,Room 39 - Midtown,Farm-to-table,Kansas City
Kansas City,JJ's Restaurant,American,Plaza / Brookside
Las Vegas,Nobu - Caesars Palace Las Vegas,Japanese,Caesars Palace
Las Vegas,Hell's Kitchen - Caesars Palace Las Vegas,American,Caesars Palace
Las Vegas,Vanderpump à Paris,French American,Paris Hotel and Casino
Las Vegas,Top of the World Steakhouse - The STRAT Hotel Casino & Tower,Steakhouse,The STRAT Hotel & Casino
Las Vegas,Esther's Kitchen,Italian,Downtown
Las Vegas,Momofuku Las Vegas,American,The Strip
Las Vegas,Delilah – NYE at Wynn Las Vegas,American,The Strip
Las Vegas,Harlo Steakhouse & Bar,Steakhouse,Summerlin
Las Vegas,La Strega,Italian,Spring Valley
Los Angeles,Dunsmoor,American,Eagle Rock
Los Angeles,Gwen,Contemporary American,Hollywood
Los Angeles,Camélia,French / Japanese,Arts District
Los Angeles,Loreto,Mexican,Atwater Village
Los Angeles,Majordōmo,American,Downtown
Los Angeles,Meteora,Californian,Hollywood
Los Angeles,chi SPACCA,Italian,Hollywood
Los Angeles,Ronan,Pizzeria,West Hollywood
Los Angeles,Steak 48 - Beverly Hills,Steakhouse,Beverly Hills
Los Angeles,Delilah - Los Angeles,American,West Hollywood
Los Angeles,Super Peach,Asian,Century City
Los Angeles,The Nice Guy,Italian,West Hollywood
Los Angeles,Somni,Spanish,West Hollywood
Los Angeles,La Dolce Vita,Italian,Beverly Hills
Los Angeles,Vespertine,Californian,Culver City
Los Angeles,Gjelina,American,Venice
Los Angeles,Anajak Thai Cuisine,Thai,Sherman Oaks
Los Angeles,Petit Trois Le Valley,French,Sherman Oaks
Los Angeles,Harriet's,Cocktail Bar,West Hollywood
Los Angeles,Amiga Amore,Mexican,Highland Park
Los Angeles,Xuntos,Tapas / Small Plates,Santa Monica
Los Angeles,pasjoli,French,Santa Monica
Los Angeles,Melisse,Californian,Santa Monica
Maine,REGARDS,Seafood,Portland
Maine,Benny's,Italian,Portland
Maine,Mr. Tuna,Sushi,Portland
Miami,DOYA,Mediterranean,Wynwood
Miami,Nami Nori - Design District,Japanese,Design District
Miami,L'Atelier de Joël Robuchon - Miami,French,Design District
Miami,Delilah - Miami,American,Brickell
Miami,Luca Osteria,Italian,Coral Gables
Miami,Eating House,American,Coral Gables
Miami,Los Félix Miami,Mexican,Coconut Grove
Miami,Blue Collar,Contemporary American,MiMo / Upper East Side
Miami,Zitz Sum,Japanese Speciality,Coral Gables
Miami,Ariete,Contemporary American,Coconut Grove
Miami,Krüs Kitchen,Contemporary American,Coconut Grove
Miami,Phuc Yea,Asian,MiMo / Upper East Side
Miami,Stubborn Seed Miami Beach,American,South Beach
Miami,Ghee - Downtown Dadeland,Indian,Kendall
Miami,The Den,Sushi,South Beach
Miami,Taki Omakase - Delray,Sushi,Delray Beach
Miami,Stage Kitchen & Bar - Boca,American,Boca Raton
Milwaukee,DanDan Milwaukee,Chinese,Milwaukee
Milwaukee,EsterEv,Contemporary American,Milwaukee
Milwaukee,Bavette La Boucherie,Farm-to-table,Milwaukee
Minneapolis,Manny's Steakhouse,Steak,Downtown / North Loop
Minneapolis,P.S. Steak,Steakhouse,Downtown / Mill District
Minneapolis,Baldamar,Steak,Roseville
Naples,Blackbird Modern Asian - Naples,Asian,Naples
Naples,Tigress Rooftop Restaurant & Bar,Cantonese,Naples Park
Naples,Ocean Prime - Naples,Seafood,Naples
Naples,Oise Ristorante - Fort Myers,Italian,Fort Myers
Nashville,Pelato - Nashville,Italian,Germantown
Nashville,Locust Nashville,Seafood,Belmont / Hillsboro
Nashville,Yolan,Italian,Downtown / Sobro
Nashville,Bad Idea,Wine Bar,East Nashville
Nashville,Bastion,Contemporary American,South Nashville
Nashville,Henrietta Red,American,Germantown
Nashville,International Market - Nashville,Thai,Belmont / Hillsboro
New Jersey,Hawksmoor NYC,American,Gramercy Park
New Jersey,Felina Steak- Jersey City,Italian,Jersey City
New Jersey,SAPPE,Thai,Greenwich Village
New Jersey,Gjelina - New York,Mediterranean,East Village
New Jersey,Sailor,Bistro,Fort Greene
New Jersey,Strange Delight,Oyster Bar,Fort Greene
New Jersey,Estela,Contemporary American,NoHo
New Jersey,Momofuku Noodle Bar - East Village,Asian,East Village
New Jersey,Altro Paradiso,Italian,SoHo
New Jersey,Meximodo - Jersey City,Mexican,Jersey City
New Jersey,Casa Mono,Spanish,Union Square
New Jersey,Scarr's Pizza,Pizzeria,Chinatown
New Jersey,Phoenix Palace,Chinese,Chinatown
New Jersey,Momofuku Noodle Bar - Uptown,Asian,Midtown
New Jersey,Sunn's,Korean,Chinatown
New Jersey,Una Pizza Napoletana,Italian,Lower East Side
New Jersey,Kabawa,Caribbean,East Village
New Jersey,Potluck Club,Chinese,Chinatown
New Jersey,l'abeille,French,TriBeCa
New Jersey,Roscioli - The Roman Feast,Italian,Greenwich Village
New Jersey,Muku,Japanese,TriBeCa
New Jersey,Maddy Rose at Liberty House,Contemporary American,Jersey City
New Jersey,Razza - Jersey City,Pizzeria,Jersey City
New Jersey,Parcelle Chinatown,Bar / Lounge / Bottle Service,Chinatown
New Jersey,Fairfax,American,Greenwich Village
New Jersey,Red Hook Tavern,American,Red Hook
New Jersey,Tolo,Chinese,Lower East Side
New Jersey,Manhatta,American,Financial District
New Jersey,Demo,European,West Village
New Jersey,ASKA,Nordic,Williamsburg
New Mexico,Farm & Table,Farm-to-table,Albuquerque
New Orleans,Brennan's,Creole,French Quarter
New Orleans,GW Fins,Seafood,French Quarter
New Orleans,La Petite Grocery,French,Garden District
New Orleans,Jewel of the South,Contemporary British,French Quarter
New Orleans,Muriel's Jackson Square,Creole / Cajun / Southern,French Quarter
New Orleans,Restaurant August,Contemporary French / American,Central Business District
New Orleans,Tableau,Creole / Cajun / Southern,French Quarter
New Orleans,Shaya,Middle Eastern,Uptown
New Orleans,San Lorenzo at Hotel Saint Vincent,Contemporary Italian,Garden District
New Orleans,The Bower,American,Lower Garden District
Oklahoma City,MAHT,Steakhouse,Oklahoma City
Oklahoma City,Perle Mesta,American,Oklahoma City
Oklahoma City,Osteria,Italian,Oklahoma City
Oklahoma City,Grey Sweater,Global International,Bricktown
Oklahoma City,nonesuch,American,Midtown
Oklahoma City,Birdies by Chef Kevin Lee,Contemporary Korean,Memorial Square
Orlando,The Pinery,Southern,Downtown Orlando
Orlando,Norman's - Orlando,Steakhouse,I Drive / Sand Lake
Orlando,Primo,Italian,I Drive / Sand Lake
Orlando,Knife & Spoon,Steak,I Drive / Sand Lake
Orlando,Charley's Steak House-Celebration FL,Steakhouse,Celebration
Philadelphia,SkyHigh,Cocktail Bar,Center City
Philadelphia,Vernick Fish,Cocktail Bar,Center City
Philadelphia,Friday Saturday Sunday,American,Center City
Philadelphia,My Loup,French,Center City
Philadelphia,Pine Street Grill,American,Center City
Philadelphia,a.kitchen,French American,Center City
Philadelphia,Her Place Supper Club,American,Center City
Philadelphia,Mawn,Cambodian,Bella Vista
Philadelphia,Honeysuckle,American,North Broad
Philadelphia,Vetri Cucina - Philadelphia,Italian,Center City
Philadelphia,High Street Restaurant & Bar,American,Center City
Philadelphia,Almanac,Cocktail Bar,Old City
Philadelphia,Tabachoy,Filipino,South Philly
Philadelphia,Ogawa Sushi & Kappo Omakase,Sushi,Old City
Phoenix,Fat Ox,Italian,Central Scottsdale
Phoenix,Wrigley Mansion - Geordie's,American,Biltmore
Phoenix,The Mission – Old Town Scottsdale,Latin American,Old Town Scottsdale
Phoenix,Christopher's at Wrigley Mansion,Contemporary French,Biltmore
Phoenix,Lom Wong,Thai,West Phoenix
Phoenix,Chilte,Contemporary Mexican,West Phoenix
Phoenix,Course,American,Central Scottsdale
Phoenix,Latha Restaurant,Contemporary American,Downtown Phoenix
Pittsburgh,ELEVEN,American,Downtown
Portland,Dolly Olive & Bar Dolly,Italian,Downtown
Portland,Oma's Hideaway,Indonesian / Malaysian,Southeast Portland
Portland,Shalom Y'all,Mediterranean,Southeast Portland
Portland,Arden,Contemporary American,Northwest Portland
Portland,Canard - Burnside,Contemporary American,Northeast Portland
Portland,L'Orange,Mediterranean,Southeast Portland
Portland,Jeju,Korean,Southeast Portland
Portland,Nodoguro,Japanese Speciality,Downtown
Portland,Xiao Ye,American,Northeast Portland
Portland,Han Oak,Korean,Northeast Portland
Portland,Hayward,Farm-to-table,McMinnville
Raleigh,Poole's Diner,American,Raleigh
Raleigh,Tamasha Modern Indian,Indian,Raleigh
Raleigh,Death & Taxes,American,Raleigh
Raleigh,La Terrazza,Mediterranean,Raleigh
Raleigh,Herons,American,Cary
Rhode Island,Hemenway's,Seafood,Providence
Rhode Island,Gracie's,Contemporary American,Providence
Rhode Island,Waterman Grille,American,Providence
Rhode Island,Los Andes Restaurant,Peruvian,Providence
Richmond,Stella's - Richmond,Greek,Richmond
Salt Lake City,Prohibition,American,Murray
Salt Lake City,Monte,Contemporary American,South Salt Lake
Salt Lake City,Sunday's Best at the Post District,Breakfast,Downtown
Salt Lake City,Matteo Ristorante Italiano,Italian,Salt Lake City
Salt Lake City,Cosmica,Italian,People's Freeway
Salt Lake City,Chase Sapphire Reserve presents Frasca Food and Wine,Italian,Park City
San Antonio,Clementine,Contemporary American,North Central
San Diego,C-Level,Cocktail Bar,Downtown
San Diego,Ironside Fish & Oyster,Seafood,Little Italy
San Diego,Coasterra,Mexican,Harbor Island
San Diego,Marisi,Italian,La Jolla
San Diego,Herb & Wood,Californian,Little Italy
San Diego,Animae,Contemporary Asian,Downtown
San Diego,Juniper & Ivy,Farm-to-table,Little Italy
San Diego,Kettner Exchange,Contemporary American,Little Italy
San Diego,Island Prime,Steakhouse,Downtown
San Diego,The Marine Room,Seafood,La Jolla
San Diego,Paradisaea,Californian,La Jolla
San Diego,Solare Ristorante Lounge,Italian,Point Loma
San Diego,The Whaling Bar,Californian,La Jolla
San Diego,Casa Gabriela,Mexican,La Mesa
San Diego,Herb & Sea,Californian,Encinitas
San Diego,KINDRED,Vegetarian / Vegan,South Park
San Diego,Vintana Wine & Dine,American,Escondido
San Diego,Lilo,Californian,Carlsbad
San Diego,Jeune et Jolie,Contemporary French,Carlsbad
San Francisco,Burdell,Soul food,Oakland
San Francisco,Popoca,Latin American,Oakland
San Francisco,Che Fico San Francisco,Italian,North Panhandle / USF
San Francisco,The Progress,Contemporary American,Western Addition
San Francisco,Angler San Francisco,American,Financial District / Embarcadero
San Francisco,Niku Steakhouse,Steakhouse,SOMA
San Francisco,Bodega SF,Vietnamese,Financial District / Embarcadero
San Francisco,Rich Table,Californian,Western Addition
San Francisco,Gary Danko,Contemporary French / American,Fisherman's Wharf
San Francisco,little shucker,Seafood,Pacific Heights
San Francisco,Saison Cellar & Wine Bar - San Francisco,Wine Bar,SOMA
San Francisco,Aziza,Californian,Richmond District
San Francisco,Hilda and Jesse,Contemporary American,North Beach
San Francisco,Saison,American,SOMA
San Francisco,Californios,Mexican,SOMA
San Francisco,Selby's,American,Menlo Park
San Francisco,O' by Claude Le Tohic,Contemporary French,Downtown / Union Square
San Francisco,Nisei,Japanese,Russian Hill
San Francisco,PRESS Restaurant,American,St. Helena
San Francisco,SingleThread Restaurant & Inn,Californian,Healdsburg
San Francisco,Chez Noir,French,Carmel
San Francisco,Ella Dining Room and Bar,Contemporary American,Sacramento
San Francisco,Camden Spit and Larder,American,Sacramento
San Francisco,Canon,American,Sacramento
Seattle,Lark,Contemporary American,Capitol Hill / First Hill
Seattle,Atoma Seattle,Contemporary American,Wallingford
Seattle,Westward,Northwest,Wallingford
Seattle,Takai by Kashiba,Sushi,Bellevue
Seattle,Cafe Juanita,Italian,Kirkland
Seattle,TOMO,American,White Center
St. Louis,Olive + Oak,American,St. Louis
St. Louis,Madrina,Italian,Webster Groves
St. Louis,Idol Wolf - 21c Museum Hotel St. Louis,Spanish,St. Louis
Tampa,Psomi,Greek,Tampa
Tampa,Predalina,Mediterranean,Tampa
Tampa,Fortu,Contemporary Asian,St. Petersburg
Tampa,Il Ritorno,Italian,St. Petersburg
Tulsa,Ava June,French,East Village
Tulsa,Amelia's Wood-Fired Cuisine,American,Tulsa
Tulsa,LoFi,Pizzeria,Tulsa
Washington DC,Amazonia,Peruvian,Mount Vernon Square
Washington DC,Dauphine's,Contemporary American,Downtown
Washington DC,Thip Khao,Laotian,Columbia Heights / Brightwood
Washington DC,Bresca,Contemporary French / American,U Street Corridor
Washington DC,Elmina,African,U Street Corridor
Washington DC,Causa,Peruvian,Shaw
Washington DC,Service Bar,Cocktail Bar,Mount Vernon Square
Washington DC,Xiquet by Danny Lledó,Spanish,Georgetown
Washington DC,El Taller del Xiquet,Spanish,Georgetown
Washington DC,The Duck and the Peach,American,Capitol Hill
Washington DC,The Ruxton,Steakhouse,Harbor East
Washington DC,Azumi,Japanese,Harbor East
Washington DC,MARTA,Contemporary American,Upper Fells Point
Washington DC,Cypriana - Homewood,Mediterranean,Hampden
West Palm Beach,Stage Kitchen & Bar - Boca,American,Boca Raton
West Palm Beach,The Butcher's Club at PGA National Resort,Steak,Palm Beach Gardens
West Palm Beach,Nicholson Muir Meats,Steakhouse,Boynton Beach
West Palm Beach,Taki Omakase - Delray,Sushi,Delray Beach
